ps,cor.258176_at,cor.258177_at,cor.258084_at,cor.251865_at,cor.257958_at,cor.255731_at,cor.256187_at,cor.258060_at,cor.259359_at
249324_at,0.02580780364,0.507505706,0.02237256517,0.2045393767,0.3579246723,0.5349217361,0.5390806656,0.5135470691,8.88E-04
246167_at,0.1609878091,0.5151984419,0.1337492806,0.223314903,0.5312503988,0.4871532744,0.5599779616,0.4571772329,0.02651944453
246766_at,0.2568090729,0.5982638335,0.1676405831,0.2751483314,0.5052852673,0.4590552357,0.5584547526,0.4745095263,0.0515838621
247076_at,0.150891116,0.5191726796,0.1139757185,0.03782764211,0.3138805831,0.5285352926,0.5046657042,0.2910189683,0.08655305947
247960_at,0.1261609465,0.5453592056,0.06053296836,0.1339127732,0.3927843367,0.5882178584,0.5571764733,0.3695978188,0.07014599507
248635_at,0.1966302942,0.5679106425,0.1530843316,0.2183146087,0.5162759477,0.4442031387,0.585404146,0.4852062221,0.09708647821
249478_at,0.1356502725,0.593988764,0.1659524533,0.1921294543,0.5059918098,0.4526827843,0.5166917389,0.4453513194,0.03041605763
249665_at,0.2372234688,0.5547147166,0.1640958436,0.20223746,0.5579469605,0.4559364584,0.5534172733,0.4324359382,0.06827709724
250159_at,0.02861052837,0.560017926,0.06744204469,0.2305109856,0.3695496424,0.5174636949,0.5159032069,0.3648723937,0.1081763205
250827_at,0.06396108929,0.5095147958,0.09808953148,0.1861071575,0.297278065,0.5125537811,0.4947518061,0.5959523796,0.04063347271
250961_at,0.208317316,0.518641764,0.1274598358,0.1966697268,0.5549227544,0.4961481146,0.5305552335,0.4360717471,0.08723680619
251726_at,0.1722890322,0.556260101,0.1447785221,0.1909903446,0.5232496287,0.4085055297,0.5175147179,0.3674906989,0.03778498982
251938_at,0.05814100901,0.5170549359,0.05193616776,0.1645752949,0.3494586078,0.5388363946,0.5266044553,0.3315760937,0.07460769689
251947_at,0.1378860031,0.5584494695,0.1667433637,0.1818158298,0.5757526641,0.4086272393,0.526207917,0.3899746697,0.03534881959
252022_at,0.08630981124,0.5473661377,0.1562440713,0.1760841566,0.3072602061,0.5601623765,0.5193452532,0.2999568617,0.001557822024
252235_at,0.03117751554,0.5223597227,0.06207337366,0.192271158,0.3605779753,0.5107969067,0.5285176139,0.3598161122,0.06657510408
253221_at,0.01018256655,0.5772380384,0.01174788348,0.2054395425,0.373333026,0.5132488597,0.5223711829,0.3156380312,0.02684580017
253336_at,0.05211992786,0.5141577538,0.04723792793,0.2327485972,0.3406642238,0.5342351604,0.5625161603,0.3473992621,0.05132866748
254008_at,0.2240608325,0.5457214932,0.1409477882,0.1806738389,0.5782645077,0.418001988,0.5283764166,0.4484485872,0.005298398109
254212_at,0.1466145976,0.5872203656,0.2105053187,0.2263027608,0.5247345535,0.481119499,0.5720083734,0.4562208287,0.1122212217
254720_at,0.1811677402,0.5011470122,0.1568849489,0.2232059861,0.5039383228,0.4590745669,0.5328757493,0.4572816841,0.07771352556
254830_at,0.05903248326,0.5054607354,0.1360787529,0.2283752072,0.2745949216,0.5658963423,0.5317251626,0.3607951571,0.1489146658
255079_s_at,0.07195287599,0.5560323441,0.2694739992,0.1704263108,0.3701882899,0.5420938072,0.5704883548,0.4493280002,0.1131597259
255885_at,0.01995282117,0.5159467956,0.006943520436,0.1064010622,0.4175068425,0.550764356,0.4934872248,0.5245564987,0.1457425065
255919_at,0.2333617427,0.5008405334,0.1877269227,0.1468752853,0.5910356521,0.4841454359,0.5092800303,0.389151587,0.09726332114
255966_at,0.0391659831,0.5279713664,0.2788764458,0.1460036283,0.3496999731,0.5852680058,0.5127697219,0.3592762952,0.2233732158
256072_at,0.07038144967,0.5740405752,0.04723339849,0.1533375363,0.3880914771,0.580753089,0.5209694541,0.3393908611,0.1130041565
256956_at,0.0242676887,0.500291006,0.1737113835,0.1433382943,0.317833742,0.4783284646,0.5139934851,0.5208843956,0.2006972633
256982_at,0.1956931968,0.5174352329,0.109465843,0.3257839104,0.400003789,0.5036344441,0.5170789421,0.4126425485,0.04716153759
257327_at,0.1435396623,0.5291282884,0.1412267153,0.1769763894,0.5215482351,0.4330886076,0.5094993817,0.4850267707,0.07329696366
257372_at,0.1658761452,0.5767954943,0.1039014206,0.2376185299,0.5707169684,0.4083030755,0.5119960999,0.447190888,0.03088079082
